Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","0.1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",207.692500,-147.587500,0.000000,bottom
"C41","100 pF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",94.037500,-147.750000,0.000000,bottom
"C42","100 pF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",94.000000,-145.500000,0.000000,bottom
"C43","100 pF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",94.000000,-150.000000,0.000000,bottom
"C44","100 pF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",94.037500,-141.000000,0.000000,bottom
"C45","100 pF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",94.037500,-138.750000,0.000000,bottom
"C46","100 pF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",94.037500,-143.250000,0.000000,bottom
"C47","100 pF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",94.037500,-134.250000,0.000000,bottom
"C48","100 pF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",94.075000,-132.000000,0.000000,bottom
"C49","100 pF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",94.037500,-136.500000,0.000000,bottom
"C50","100 pF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",94.037500,-129.750000,0.000000,bottom
"C51","100 pF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",94.037500,-127.500000,0.000000,bottom
"C52","100 pF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",94.000000,-124.750000,0.000000,bottom
"C53","100 pF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",94.037500,-119.750000,0.000000,bottom
"C54","100 pF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",94.000000,-122.250000,0.000000,bottom
"C55","100 pF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",94.000000,-117.000000,0.000000,bottom
"C56","100 pF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",95.000000,-111.750000,0.000000,bottom
"C57","100 pF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",94.000000,-114.750000,0.000000,bottom
"C58","100 pF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",95.000000,-109.000000,0.000000,bottom
"C59","100 pF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",95.037500,-104.250000,0.000000,bottom
"C60","100 pF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",95.000000,-106.500000,0.000000,bottom
"C61","100 pF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",95.000000,-101.750000,0.000000,bottom
"D12","D","D_SOD-128",117.750000,-156.000000,-90.000000,bottom
"D15","D_TVS","D_SOD-123F",171.750000,-83.750000,-90.000000,bottom
"D16","D_TVS","D_SOD-123F",176.750000,-83.650000,-90.000000,bottom
"D17","D_TVS","D_SOD-123F",62.250000,-94.000000,-90.000000,bottom
"D18","D_TVS","D_SOD-123F",179.250000,-83.650000,-90.000000,bottom
"D19","D_TVS","D_SOD-123F",62.250000,-123.500000,-90.000000,bottom
"D20","D_TVS","D_SOD-123F",57.250000,-123.500000,-90.000000,bottom
"D21","D_TVS","D_SOD-123F",54.750000,-123.500000,-90.000000,bottom
"D22","D_TVS","D_SOD-123F",62.250000,-153.500000,-90.000000,bottom
"D23","D_TVS","D_SOD-123F",57.250000,-94.000000,-90.000000,bottom
"D24","D_TVS","D_SOD-123F",54.750000,-93.900000,-90.000000,bottom
"D25","D_TVS","D_SOD-123F",62.250000,-103.750000,-90.000000,bottom
"D26","D_TVS","D_SOD-123F",57.250000,-103.750000,-90.000000,bottom
"D27","D_TVS","D_SOD-123F",54.750000,-103.750000,-90.000000,bottom
"D28","D_TVS","D_SOD-123F",62.250000,-113.650000,-90.000000,bottom
"D29","D_TVS","D_SOD-123F",57.250000,-113.650000,-90.000000,bottom
"D30","D_TVS","D_SOD-123F",54.750000,-113.600000,-90.000000,bottom
"D31","D_TVS","D_SOD-123F",62.250000,-133.500000,-90.000000,bottom
"D32","D_TVS","D_SOD-123F",57.250000,-133.500000,-90.000000,bottom
"D33","D_TVS","D_SOD-123F",54.750000,-133.500000,-90.000000,bottom
"D34","D_TVS","D_SOD-123F",62.250000,-143.500000,-90.000000,bottom
"D35","D_TVS","D_SOD-123F",57.250000,-143.500000,-90.000000,bottom
"D36","D_TVS","D_SOD-123F",54.750000,-143.500000,-90.000000,bottom
"D37","D_TVS","D_SOD-123F",57.250000,-153.500000,-90.000000,bottom
"D38","D_TVS","D_SOD-123F",54.750000,-153.500000,-90.000000,bottom
"D39","D_TVS","D_SOD-123F",181.750000,-83.650000,-90.000000,bottom
"D40","D_TVS","D_SOD-123F",184.250000,-83.600000,-90.000000,bottom
"D41","D_TVS","D_SOD-123F",186.750000,-83.650000,-90.000000,bottom
"D42","D_TVS","D_SOD-123F",171.500000,-74.275000,-90.000000,bottom
"D43","D_TVS","D_SOD-123F",181.500000,-74.275000,-90.000000,bottom
"D44","D_TVS","D_SOD-123F",176.500000,-74.275000,-90.000000,bottom
"D45","D_TVS","D_SOD-123F",184.000000,-74.275000,-90.000000,bottom
"D46","D_TVS","D_SOD-123F",179.000000,-74.275000,-90.000000,bottom
"D47","D_TVS","D_SOD-123F",186.500000,-74.225000,-90.000000,bottom
"D48","D_TVS","D_SOD-123F",134.500000,-74.350000,-90.000000,bottom
"D49","D_TVS","D_SOD-123F",144.500000,-74.400000,-90.000000,bottom
"D50","D_TVS","D_SOD-123F",139.500000,-74.400000,-90.000000,bottom
"D51","D_TVS","D_SOD-123F",147.000000,-74.400000,-90.000000,bottom
"D52","D_TVS","D_SOD-123F",142.000000,-74.400000,-90.000000,bottom
"D53","D_TVS","D_SOD-123F",149.500000,-74.400000,-90.000000,bottom
"D54","D_TVS","D_SOD-123F",96.500000,-84.000000,-90.000000,bottom
"D55","D_TVS","D_SOD-123F",106.500000,-83.900000,-90.000000,bottom
"D56","D_TVS","D_SOD-123F",101.500000,-83.900000,-90.000000,bottom
"D57","D_TVS","D_SOD-123F",109.000000,-83.900000,-90.000000,bottom
"D58","D_TVS","D_SOD-123F",104.000000,-83.900000,-90.000000,bottom
"D59","D_TVS","D_SOD-123F",111.500000,-83.900000,-90.000000,bottom
"D60","D_TVS","D_SOD-123F",96.500000,-74.400000,-90.000000,bottom
"D61","D_TVS","D_SOD-123F",106.500000,-74.250000,-90.000000,bottom
"D62","D_TVS","D_SOD-123F",101.500000,-74.250000,-90.000000,bottom
"D63","D_TVS","D_SOD-123F",109.000000,-74.250000,-90.000000,bottom
"D64","D_TVS","D_SOD-123F",104.000000,-74.250000,-90.000000,bottom
"D65","D_TVS","D_SOD-123F",111.500000,-74.250000,-90.000000,bottom
"D66","D_TVS","D_SOD-123F",65.500000,-83.900000,-90.000000,bottom
"D67","D_TVS","D_SOD-123F",75.500000,-83.900000,-90.000000,bottom
"D68","D_TVS","D_SOD-123F",70.500000,-83.900000,-90.000000,bottom
"D69","D_TVS","D_SOD-123F",78.000000,-83.900000,-90.000000,bottom
"D70","D_TVS","D_SOD-123F",73.000000,-83.900000,-90.000000,bottom
"D71","D_TVS","D_SOD-123F",80.500000,-83.900000,-90.000000,bottom
"D72","D_TVS","D_SOD-123F",65.500000,-74.400000,-90.000000,bottom
"D73","D_TVS","D_SOD-123F",75.500000,-74.250000,-90.000000,bottom
"D74","D_TVS","D_SOD-123F",70.500000,-74.400000,-90.000000,bottom
"D75","D_TVS","D_SOD-123F",78.000000,-74.250000,-90.000000,bottom
"D76","D_TVS","D_SOD-123F",73.000000,-74.350000,-90.000000,bottom
"D77","D_TVS","D_SOD-123F",80.500000,-74.250000,-90.000000,bottom
"D78","D_TVS","D_SOD-123F",121.750000,-106.900000,-90.000000,bottom
"D79","D_TVS","D_SOD-123F",121.750000,-129.650000,-90.000000,bottom
"D80","D_TVS","D_SOD-123F",121.750000,-114.650000,-90.000000,bottom
"D81","D_TVS","D_SOD-123F",121.750000,-137.400000,-90.000000,bottom
"D82","D_TVS","D_SOD-123F",121.750000,-122.250000,-90.000000,bottom
"D83","D_TVS","D_SOD-123F",121.750000,-144.750000,-90.000000,bottom
"D84","D_TVS","D_SOD-123F",117.800000,-151.250000,180.000000,bottom
"D85","D_TVS","D_SOD-123F",121.750000,-152.400000,-90.000000,bottom
"D86","D_TVS","D_SOD-123F",58.350000,-157.500000,180.000000,bottom
"D87","D","D_SOD-128",62.500000,-159.750000,-90.000000,bottom
"D88","D_TVS","D_SOD-123F",47.500000,-88.000000,0.000000,bottom
"D89","D_TVS","D_SOD-123F",47.250000,-100.000000,0.000000,bottom
"D90","D_TVS","D_SOD-123F",47.500000,-85.500000,0.000000,bottom
"D91","D_TVS","D_SOD-123F",47.250000,-97.500000,0.000000,bottom
