"Symbol";"Value";"Unit";
"TE_905479_1";"4.9";"";
"TE_909119_1";".5";"";
"TE_905942_2";"39.37";"";
"TE_905942_1";"1";"";
"Series";"AMP Mini CT";"";
"TE_905960_2";".332";"";
"TE_907460_2";"39.37 – 78.73";"";
"TE_905960_1";"8.45";"";
"TE_901781_2";"-30 – 105";"";
"TE_909119_2";".02";"";
"TE_901847_1";"1.5";"";
"SUPPLIER";"TE Connectivity";"";
"REFERENCE";"292206-8";"";
"TE_905246_1";"3";"";
"TraceParts.InstanceId";"90-13062019-05884035TW4JQSCYFKBS82Q4H6626FZ";"";
"TE_901781_1";"-22 – 221";"";
"TraceParts.PartTitle";"Wire-to-Board Headers & Receptacles";"";
"TE_907460_1";"1 – 2";"";
"TE_903191_2";".063";"";
"DESIGN";"MINI CT SGL DIP H 8P NAT";"";
"TE_903191_1";"1.6";"";
"TraceParts.PartNumber";"90-13062019-058840";"";
"TE_908920_1";".5";"";
"TE_901889";"28 – 22";"";
"TE_905246_2";".118";"";
"TRACEPARTS";"TRACEPARTS";"";
"TE_901928";"50";"";
"TE_901929";"50";"";
"TE_905388_1";"14.5";"";
"TE_901847_2";".059";"";
"URL";"https://www.te.com/usa-en/product-292206-8.html?te_bu=Cor&te_type=other&te_campaign=trp_glo_buylink-pdp&elqCampaignId=29714";"";
"TE_905492_1";"2.4";"";
"TE_905388_2";".57";"";
"TE_905492_2";".095";"";
"TE_905479_2";".192";"";
"TE_901868";"2";"";
"TraceParts.PartVersion";"1.0.3";"";
"TraceParts.PartLanguage";"en";"";
"TE_908920_2";".02";"";
