Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3, C4",C_0402,3,1uF,C52923
C2,C_0603,1,0.1 uF,C45000
D4,D_SOD-323,1,H5VHD3BC,C20615804
"D5, D6, D7",SOT-363_SC-70-6,3,BAT54SDW,C2919793
"J1, J9",PinHeader_1x05_P2.54mm_Horizontal,2,Conn_01x05,C138801
J2,CONN_SDA-41792_M450_03_MOL,1,26605030,C587093
J4,TE_292206-8,1,motor_connector_292206-8,C591662
J7,AMPHENOL_54602-908LF,1,ethernet_54602-908LF,C2847314
JP1,TestPoint_2Pads_Pitch5.08mm_Drill1.3mm,1,Jumper_2_Open,
"R13, R14, R15, R16, R17, R19",R_0805,6,120Ω,C17437
"TP1, TP2, TP3",TestPoint_Bridge_Pitch2.54mm_Drill1.0mm,3,TestPoint_Probe,
U2,line_driver_SOP65P640X120-20N,1,74ACT244MTCX,C5496
