Ref,Val,Package,PosX,PosY,Rot,Side
"D5","BAT54SDW","SOT-363_SC-70-6",192.000000,-76.200000,90.000000,bottom
"D6","BAT54SDW","SOT-363_SC-70-6",203.400000,-76.200000,-90.000000,bottom
"D7","BAT54SDW","SOT-363_SC-70-6",197.600000,-82.400000,0.000000,bottom
"R13","120Ω","R_0805",190.800000,-80.600000,-90.000000,bottom
"R14","120Ω","R_0805",188.200000,-80.600000,-90.000000,bottom
"R15","120Ω","R_0805",204.000000,-80.000000,-90.000000,bottom
"R16","120Ω","R_0805",206.600000,-80.000000,-90.000000,bottom
"R17","120Ω","R_0805",201.400000,-83.600000,-90.000000,bottom
"R19","120Ω","R_0805",194.000000,-83.600000,-90.000000,bottom
"C2","1uF","C_0402",210.200000,-70.600000,0.000000,top
"C4","1uF","C_0402",201.000000,-73.200000,180.000000,top
"D4","H5VHD3BC","D_SOD-323",188.400000,-84.400000,0.000000,top
"J2","26605030","CONN_SDA-41792_M450_03_MOL",214.899600,-84.294050,0.000000,top
"J7","ethernet_54602-908LF","AMPHENOL_54602-908LF",195.600000,-96.800000,0.000000,top
"J8","motor_connector_292206-8","TE_292206-8",210.212500,-67.350000,180.000000,top
"J9","Conn_01x05","PinHeader_1x05_P2.54mm_Horizontal",189.520000,-70.585000,90.000000,top
"U2","74ACT244MTCX","line_driver_SOP65P640X120-20N",197.600000,-77.200000,0.000000,top
