Designator,Mid X,Mid Y,Rotation,Layer
C1,189.9,-88.5,270.0,top
C2,202.4,-74.9,0.0,top
C3,200.8,-72.7,0.0,top
C4,193.6,-72.9,0.0,top
D4,187.7,-89.0,0.0,top
D5,192.1,-85.1,0.0,top
D6,202.15,-85.1,0.0,top
D7,197.15,-85.1,0.0,top
J1,199.58,-70.5,90.0,top
J2,215.3396,-89.59405,0.0,top
J4,215.4225,-67.49,180.0,top
J7,197.555,-98.128,0.0,top
J9,190.635,-74.5,180.0,top
R13,194.0,-89.0,270.0,top
R14,196.5,-89.0,270.0,top
R15,201.5,-89.0,270.0,top
R16,204.0,-89.0,270.0,top
R17,199.0,-89.0,270.0,top
R19,191.5,-89.0,270.0,top
TP1,185.25,-92.5,0.0,top
TP2,185.23,-96.5,180.0,top
TP3,185.25,-100.5,0.0,top
U2,197.25,-78.05,0.0,top
